block_code,latitude,longitude,Skill_Score
Z40B062,25.257843,51.515554,2.2
Z40B064,25.256123,51.513029,2.17
Z31B015,25.343085,51.46827,2.23
Z31B016,25.343767,51.470789,2.15
Z31B009,25.344386,51.464982,2.21
Z31B010,25.34368,51.460311,2.25
Z31B017,25.344425,51.473465,2.22
Z39B076,25.270833,51.506984,2.19
Z39B086,25.270566,51.494715,2.18
Z39B095,25.271263,51.498973,2.08
Z39B082,25.271517,51.496925,2.15
Z41B013,25.260128,51.526426,2.19
Z39B083,25.271881,51.495949,2.0
Z26B041,25.267545,51.541182,2.34
Z26B055,25.266425,51.546619,2.3
Z26B066,25.26622,51.540442,2.17
Z26B071,25.265509,51.539954,2.25
Z26B080,25.264251,51.543682,2.38
Z26B082,25.263886,51.540158,2.13
Z27B089,25.276142,51.550835,2.26
Z27B097,25.273997,51.546215,2.24
Z27B067,25.275513,51.541632,2.35
Z66B095,25.372803,51.540717,2.26
Z66B101,25.3695,51.537819,2.21
Z49B002,25.229397,51.585497,2.2
Z31B011,25.342982,51.461908,2.21
Z31B013,25.340959,51.46362,2.17
Z31B024,25.342014,51.471952,2.15
Z31B034,25.339522,51.476646,2.26
Z31B040,25.335854,51.473639,2.24
Z26B011,25.273327,51.541149,2.23
Z26B010,25.272967,51.539413,2.14
Z26B001,25.274762,51.539782,2.14
Z26B056,25.266907,51.545923,2.25
Z26B075,25.26498,51.54336,2.21
Z26B081,25.263768,51.542156,2.23
Z26B074,25.264429,51.541682,2.21
Z32B045,25.331199,51.474211,2.12
Z32B046,25.33131,51.475688,2.17
Z38B047,25.283262,51.500561,2.2
Z96B022,24.837449,50.871075,1.75
Z96B012,24.918569,50.947095,2.12
Z90B165,25.189565,51.596543,2.17
Z90B167,25.187593,51.591348,2.19
Z56B070,25.244597,51.465329,2.11
Z56B063,25.247041,51.469444,2.19
Z82B067,25.174467,51.299324,2.23
Z56B071,25.242169,51.461491,2.13
Z53B185,25.273401,51.358201,2.13
Z82B012,25.283864,51.143529,1.83
Z82B027,25.181842,51.076234,2.26
Z55B250,25.250694,51.388423,2.2
Z66B081,25.362877,51.54924,2.23
Z66B999,25.371262,51.544157,2.21
Z66B102,25.367347,51.536913,2.21
Z66B103,25.371345,51.533993,2.22
Z66B097,25.370015,51.5392,2.0
Z63B007,25.327566,51.525208,2.07
Z33B005,25.33265,51.494867,2.0
Z71B097,25.489669,51.375069,2.22
Z71B099,25.487863,51.37431,2.19
Z71B100,25.485421,51.377463,2.2
Z57B133,25.178848,51.445317,2.16
Z57B134,25.179343,51.449016,2.22
Z34B005,25.32099,51.476894,2.11
Z33B020,25.329013,51.489212,2.29
Z33B024,25.328127,51.49314,2.09
Z33B027,25.328397,51.49494,2.25
Z34B074,25.309941,51.481048,2.16
Z34B072,25.310088,51.483746,2.21
Z34B077,25.308355,51.478816,2.21
Z56B102,25.224013,51.433583,2.14
Z55B064,25.265456,51.471729,2.2
Z55B204,25.258476,51.424479,2.22
Z55B205,25.258833,51.420618,2.21
Z55B208,25.261447,51.428093,2.17
Z55B202,25.257946,51.43049,2.24
Z55B209,25.264773,51.43057,2.13
Z56B201,25.214052,51.490878,2.16
Z56B202,25.211592,51.492997,2.2
Z56B200,25.209329,51.48703,2.18
Z57B003,25.210047,51.41047,2.24
Z57B011,25.219614,51.434179,2.21
Z39B080,25.272866,51.497666,2.08
Z39B079,25.272672,51.498612,2.14
Z39B072,25.272981,51.501648,1.86
Z39B021,25.277657,51.491234,2.15
Z80B010,25.365586,51.248806,2.19
Z80B096,25.352988,51.225145,2.21
Z80B090,25.371774,51.231509,2.19
Z91B192,25.164551,51.485393,2.2
Z83B005,25.045089,51.164082,2.21
Z83B012,25.005937,51.036986,2.15
Z40B003,25.26973,51.508723,2.24
Z39B102,25.266251,51.498943,2.18
Z39B006,25.27939,51.503148,2.1
Z39B008,25.279631,51.501506,2.24
Z39B009,25.278668,51.501904,2.05
Z39B016,25.279062,51.494262,2.12
Z39B020,25.278384,51.490459,2.17
Z39B031,25.275922,51.493442,2.52
Z45B090,25.246065,51.558459,2.19
Z45B097,25.249096,51.565987,2.19
Z45B016,25.249808,51.544251,2.18
Z46B035,25.223582,51.538257,2.21
Z46B012,25.232661,51.542945,2.21
Z46B017,25.231931,51.551463,2.21
Z46B029,25.22782,51.554847,2.21
Z46B032,25.226111,51.547665,2.04
Z46B019,25.230642,51.546474,2.21
Z28B010,25.28248,51.56147,2.16
Z56B167,25.198059,51.453547,2.0
Z45B034,25.252602,51.555057,2.22
Z06B008,25.284412,51.537398,2.1
Z06B012,25.284878,51.538682,2.29
Z06B007,25.284878,51.537186,2.2
Z06B017,25.284902,51.539309,2.31
Z53B056,25.289983,51.414296,2.22
Z53B059,25.287719,51.40735,2.26
Z57B049,25.197598,51.436074,2.16
Z38B038,25.287097,51.496168,2.16
Z44B040,25.240865,51.53836,2.27
Z44B047,25.240424,51.544801,2.18
Z54B045,25.283997,51.457752,2.17
Z44B043,25.241742,51.540816,2.18
Z44B023,25.244731,51.535404,2.22
Z44B021,25.246216,51.537311,2.27
Z72B011,25.539058,51.198268,2.25
Z72B060,25.470176,50.862883,2.13
Z57B080,25.187837,51.438888,2.27
Z39B011,25.278647,51.5006,2.19
Z39B013,25.278335,51.498488,2.15
Z39B018,25.279479,51.488199,2.21
Z39B017,25.279666,51.491802,2.22
Z39B028,25.276779,51.494893,2.18
Z39B014,25.280019,51.499322,2.25
Z83B019,25.064887,51.085056,2.5
Z61B008,25.331149,51.532307,2.24
Z92B001,25.032016,51.603123,2.18
Z91B084,25.170702,51.553267,2.2
Z50B001,25.227864,51.575135,2.12
Z28B018,25.280535,51.561357,2.22
Z28B021,25.280307,51.565952,2.33
Z90B083,25.144881,51.597507,2.22
Z90B019,25.179526,51.606128,2.21
Z90B015,25.182668,51.612311,2.22
Z19B999,25.30175,51.555405,2.2
Z66B040,25.3777,51.54394,2.13
Z66B041,25.376652,51.544334,2.23
Z64B009,25.319802,51.509751,2.2
Z64B004,25.323267,51.502175,2.22
Z56B191,25.215233,51.476174,2.23
Z56B206,25.217426,51.493741,2.13
Z56B204,25.214139,51.498329,2.2
Z56B018,25.242676,51.508833,2.26
Z56B023,25.235988,51.517132,2.18
Z52B063,25.305709,51.453602,2.2
Z82B010,25.284184,51.200329,2.3
Z90B021,25.179207,51.613264,2.11
Z90B016,25.182879,51.608714,2.21
Z90B020,25.179422,51.609099,2.19
Z90B046,25.142899,51.60442,2.22
Z90B032,25.159177,51.609413,2.21
Z90B034,25.15538,51.608814,2.22
Z90B036,25.151506,51.604761,2.21
Z56B034,25.233734,51.489752,2.19
Z56B166,25.208152,51.446144,2.17
Z71B087,25.482049,51.402399,2.2
Z71B086,25.485527,51.402089,2.09
Z63B018,25.320333,51.524854,2.32
Z63B013,25.324714,51.522531,2.29
Z63B010,25.324371,51.526599,2.05
Z54B046,25.285986,51.461948,2.16
Z54B048,25.287156,51.46928,2.0
Z91B050,25.18353,51.564028,2.12
Z53B032,25.287849,51.420683,2.31
Z53B017,25.298962,51.422785,2.18
Z54B121,25.277184,51.484269,2.21
Z54B091,25.271145,51.452531,2.24
Z54B093,25.268477,51.45372,2.24
Z90B062,25.104939,51.576192,2.11
Z82B005,25.234571,51.226777,2.42
Z82B006,25.231977,51.213007,2.32
Z90B028,25.163305,51.616913,2.27
Z73B027,25.621179,51.084351,2.27
Z73B028,25.62265,51.086076,2.14
Z54B089,25.273948,51.447281,1.5
Z54B079,25.256506,51.438296,2.24
Z54B010,25.288832,51.457493,2.19
Z55B018,25.263331,51.49302,2.21
Z55B296,25.234105,51.385288,2.15
Z55B275,25.239567,51.366867,2.2
Z55B274,25.243724,51.365608,2.19
Z55B270,25.249984,51.363261,2.18
Z82B046,25.201004,51.304227,1.95
Z68B012,25.356997,51.47995,2.25
Z68B015,25.350084,51.481144,2.16
Z68B013,25.354732,51.4806,2.2
Z68B014,25.352392,51.480687,2.2
Z56B013,25.242399,51.503224,2.23
Z71B315,25.371173,51.425708,2.2
Z71B318,25.368274,51.425746,2.2
Z71B298,25.383117,51.43676,2.2
Z68B002,25.379565,51.47739,2.24
Z68B011,25.363005,51.477318,2.19
Z68B010,25.366811,51.477312,2.14
Z68B006,25.372874,51.477008,2.18
Z81B050,25.119783,51.259679,2.26
Z81B052,25.118671,51.212718,2.17
Z91B090,25.159081,51.550668,2.08
Z55B052,25.257453,51.46909,2.19
Z55B037,25.252677,51.47688,2.11
Z55B035,25.25601,51.478411,2.27
Z55B323,25.195815,51.3733,2.21
Z90B049,25.132593,51.604835,2.15
Z12B003,25.299302,51.51058,1.97
Z14B014,25.280274,51.525757,2.18
Z54B078,25.254085,51.432698,2.32
Z71B058,25.496988,51.374463,2.19
Z71B027,25.439292,51.270115,2.26
Z67B017,25.342871,51.499823,2.17
Z90B104,25.15557,51.594668,2.22
Z55B278,25.24701,51.371366,2.17
Z55B192,25.248745,51.429708,2.19
Z71B098,25.489272,51.372422,2.2
Z90B008,25.189098,51.60459,2.23
